sec,hr,ve,vo2,vco2,fat,cho,phases,rer
329.0,0,131.622,4307.3114453,4224.262309,2032,28849,NONE,0.9807190314991918
330.0,0,109.633,3675.6250265,3614.0700554,1507,24860,NONE,0.9832531962166408
332.0,0,86.881,3617.7252849,3474.0143724,3501,22319,NONE,0.9602758912900784
334.0,0,147.309,5290.1507193,5034.8654811,6207,31478,NONE,0.9517432958443612
335.0,0,148.5,4976.4803263,4841.3625752,3300,32316,NONE,0.9728487319871592
336.0,0,150.093,4717.1767529,4596.062305,2959,30812,NONE,0.9743248018371282
338.0,0,142.128,4476.0384051,4425.4934075,1239,30908,NONE,0.9887076488123048
339.0,0,138.761,4388.2922954,4377.216092,272,31306,NONE,0.9974759649871976
341.0,0,136.671,4308.0810507,4290.4833616,432,30558,NONE,0.995915190802378
342.0,0,143.591,4448.1061541,4432.7000309,378,31624,NONE,0.996536475824481
343.0,0,143.636,4358.9833605,4366.4304291,0,31396,NONE,1.0017084416213842
345.0,0,146.657,4516.7475142,4530.0006367,0,32542,NONE,1.0029342181422214
346.0,0,139.83,4350.8741762,4373.7937182,0,31363,NONE,1.0052678016122307
348.0,0,136.151,4283.3783991,4320.535956,0,30899,NONE,1.008674824738297
349.0,0,148.397,4612.8403569,4633.4761272,0,33245,NONE,1.0044735496361004
350.0,0,145.119,4380.401465,4412.8165672,0,31590,NONE,1.0074000299878905
352.0,0,147.318,4427.1566192,4465.8348318,0,31937,NONE,1.0087365810444242
353.0,0,142.724,4332.9735205,4343.1809887,0,31214,NONE,1.0023557651925885
354.0,0,132.483,4157.8937029,4178.0982498,0,29969,NONE,1.0048593226146951
356.0,0,135.584,4312.6234216,4324.8698511,0,31070,NONE,1.002839670498162
357.0,0,136.599,4360.3804333,4334.7736607,628,30726,NONE,0.9941273994341312
359.0,0,142.174,4503.5665786,4511.1350668,0,32438,NONE,1.0016805543046623
360.0,0,141.111,4368.1049852,4373.7937182,0,31459,NONE,1.0013023343118526
361.0,0,113.389,3632.8280605,3609.2310512,579,25540,NONE,0.993504506982708
363.0,0,140.169,4502.5306204,4411.1765705,2235,30039,NONE,0.97971051002161
364.0,0,146.256,4639.5906555,4552.8379055,2123,31145,NONE,0.9813016370534414
365.0,0,140.448,4439.581867,4354.354635,2085,29745,NONE,0.9808028696050172
367.0,0,149.017,4646.8193288,4428.7334036,5304,27808,NONE,0.9530676986194944
368.0,0,151.7,4745.3163351,4596.5332131,3631,30300,NONE,0.9686463216583716
369.0,0,140.382,4380.0266588,4258.7915084,2961,28383,NONE,0.9723209103861448
370.0,0,144.361,4575.4592163,4432.2571263,3495,29222,NONE,0.9687021382488024
372.0,0,143.913,4539.8641576,4451.2683251,2168,30379,NONE,0.9804849155339403
373.0,0,136.412,4347.2848918,4273.7396135,1801,29383,NONE,0.9830824801846496
